TIME;LC_INIT
754.4483;0.008280908
754.4688;0.008167908
754.4892;0.008079307
754.5096;0.008069516
754.5301;0.00892573
754.5505;0.008247647
754.5709;0.007884963
754.5914;0.0076187374
754.6118;0.0069714785
754.6322;0.007397699
754.6527;0.0069053746
754.6731;0.0064547723
754.6935;0.0066984063
754.714;0.0060260165
754.7344;0.005965475
754.7548;0.0061189947
754.7753;0.0054398547
754.7957;0.005309125
754.8161;0.0047845123
754.8366;0.0041745026
754.857;0.004150153
754.8774;0.0050027072
754.8979;0.0035607696
754.9183;0.0036344233
754.9387;0.002931209
754.9592;0.0023913062
754.9796;0.0020483043
755;0.0016864338
755.0205;0.0009789092
755.0409;0.0005536009
755.0613;-3.851593e-05
755.0818;-0.00037859
755.1022;0.00026453868
755.1226;-0.001225384
755.1431;-0.0014258951
755.1635;-0.0018192406
755.1839;
755.2044;-0.0025847042
755.2248;-0.0024011733
755.2452;-0.002587533
755.2657;-0.002417178
755.2861;-0.0026566463
755.3065;-0.0024650637
755.327;-0.0024880308
755.3474;-0.0022212989
755.3678;-0.0021003112
755.3883;-0.0017961675
755.4087;-0.0011539335
755.4291;-0.0019211546
755.4496;-0.0014169381
755.47;-0.0016952012
755.4904;-0.00087404036
755.5109;-0.0009856574
755.5313;-0.0005480506
755.5517;-0.00036151058
755.5722;-0.0004571056
755.5926;0.00066440826
755.613;0.0007040656
755.6335;0.0004857431
755.6539;0.0009558821
755.6743;0.0009783788
755.6948;0.0013626328
755.7152;0.0016898745
755.7356;0.0016425897
755.7561;0.0018027786
755.7765;0.0015095508
755.7969;0.0021264912
755.8174;0.0019069486
755.8378;0.0017479972
755.8582;0.0042196764
755.8787;0.002291627
755.8991;0.0017426152
755.9195;-0.0016257134
755.94;-0.0052128206
755.9604;-0.0053815315
755.9808;-0.0037511338
756.0013;0.0015293706
756.0217;0.0014068552
756.0421;0.001956942
756.0626;0.0020851681
756.083;0.0021477607
756.1034;0.0021090969
756.1239;0.0017514554
756.1443;0.0019732928
756.1647;0.0017962861
756.1852;0.0016169208
756.2056;0.0019186246
756.226;0.001822379
756.2465;0.0013662465
756.2669;0.0013688172
756.2873;0.0016510016
756.3078;0.0014381283
756.3282;0.0018498721
756.3486;0.0016452944
756.3691;0.0016184235
756.3895;0.0016247354
756.4099;0.0014745677
756.4304;0.0019063187
756.4508;0.0019423976
756.4712;0.0019565986
756.4917;0.0023227972
756.5121;0.0018746351
756.5325;0.0018183227
756.553;0.0017111788
756.5734;0.0021590332
756.5938;0.0018617389
756.6143;0.0020447816
756.6347;0.0021531633
756.6551;0.0025074065
756.6756;0.0025300658
756.696;0.002754099
756.7164;0.0032889768
756.7369;0.0036968167
756.7573;0.003743062
756.7777;0.0049383426
756.7982;0.0058078133
756.8186;0.005725638
756.839;0.0059613013
756.8595;0.0060186074
756.8799;0.0063297455
756.9003;0.0069970293
756.9208;0.0067150253
756.9412;0.006795673
756.9616;0.0072258785
756.9821;0.007433158
757.0025;0.0072108502
757.0229;0.007965564
757.0434;0.0075868582
757.0638;0.008002831
757.0842;0.008180588
757.1047;0.008846733
757.1251;0.009523531
757.1455;0.009974965
757.166;0.00945694
757.1864;0.009632338
757.2068;0.009134076
757.2273;0.009083294
757.2477;0.00875672
757.2681;0.008971157
757.2886;0.00892981
757.309;0.008778259
757.3294;0.008976348
757.3499;0.009195176
757.3703;0.0090097925
757.3907;0.008617504
757.4112;0.008568918
757.4316;0.008909741
757.452;0.00830266
757.4725;0.007925255
757.4929;0.008056166
757.5133;0.0077119432
757.5338;0.007125194
